Symbol,Company Name,Industry,Market Cap
ATEX,Anterix,Telecom Services,612295805
ATGE,Adtalem Global Education,Education & Training Services,1750310308
ATHA,Athira Pharma,Biotechnology,95619384
ATHE,Alterity Therapeutics,Biotechnology,11075240
ATHM,Autohome,Internet Content & Information,4150517700
ATHX,Athersys,Biotechnology,17897256
ATI,ATI Inc.,Metal Fabrication,5055517530
ATIF,ATIF Holdings,Capital Markets,19593786
ATIP,ATI Physical Therapy,Medical Care Facilities,54707899
ATKR,Atkore,Electrical Equipment & Parts,5580433922
ATLC,Atlanticus Holdings,Credit Services,389997403
ATLO,Ames National,Banks - Regional,186407684
ATLX,Atlas Lithium,Other Precious Metals & Mining,101917120
ATMC,AlphaTime Acquisition,Shell Companies,15339000
ATMV,AlphaVest Acquisition,Shell Companies,1970849
ATNF,180 Life Sciences,Biotechnology,7063516
ATNI,ATN International,Telecom Services,647304969
ATNM,Actinium Pharmaceuticals,Biotechnology,234446360
ATNX,Athenex,Drug Manufacturers - Specialty & Generic,10829013
ATO,Atmos Energy,Utilities - Regulated Gas,15906841819
ATOM,Atomera,Semiconductor Equipment & Materials,153685230
ATOS,Atossa Therapeutics,Biotechnology,94968000
ATR,AptarGroup,Medical Instruments & Supplies,7757918385
ATRA,Atara Biotherapeutics,Biotechnology,282024510
ATRC,AtriCure,Medical Instruments & Supplies,1938625840
ATRI,Atrion,Medical Instruments & Supplies,1123595248
ATRO,Astronics,Aerospace & Defense,424655256
ATSG,Air Transport Services Group,Airlines,1495792277
ATTO,Atento,Specialty Business Services,29289394
ATUS,Altice USA,Telecom Services,1482526445
ATVI,Activision Blizzard,Electronic Gaming & Multimedia,66922099055
ATXG,Addentax Group,Integrated Freight & Logistics,32336718
ATXI,Avenue Therapeutics,Biotechnology,6527015
ATXS,Astria Therapeutics,Biotechnology,361868031
ATY,AcuityAds Holdings,Advertising Agencies,89189973
AU,AngloGold Ashanti,Gold,10247376568
AUB,Atlantic Union Bankshares,Banks - Regional,2611015863
AUBN,Auburn National Bancorporation,Banks - Regional,83636023
AUD,Audacy,Broadcasting,16618847
AUDC,AudioCodes,Communication Equipment,464868250
AUGX,Augmedix,Health Information Services,64757706
AUID,authID,Software - Infrastructure,11196531
AULT,Ault Alliance,Aerospace & Defense,33355589
AUMN,Golden Minerals Company,Other Precious Metals & Mining,35936782
AUPH,Aurinia Pharmaceuticals,Biotechnology,1471394557
AUR,Aurora Innovation,Information Technology Services,1559331774
AURA,Aura Biosciences,Biotechnology,352296932
AURC,Aurora Acquisition,Shell Companies,91698883
AUST,Austin Gold,Gold,15926160
AUTL,Autolus Therapeutics,Biotechnology,335765516
AUUD,Auddia,Software - Application,7775959
AUVI,Applied UV,"Furnishings, Fixtures & Appliances",13186838
AUY,Yamana Gold,Gold,5628852403
AVA,Avista,Utilities - Diversified,3176269762
AVAC,Avalon Acquisition,Shell Companies,271495007
AVAH,Aveanna Healthcare Holdings,Medical Care Facilities,187717598
AVAL,Grupo Aval Acciones y Valores,Banks - Regional,2837336415
AVAV,AeroVironment,Aerospace & Defense,2323024800
AVB,AvalonBay Communities,REIT - Residential,23377833600
AVD,American Vanguard,Agricultural Inputs,634325672
AVDL,Avadel Pharmaceuticals,Drug Manufacturers - Specialty & Generic,606143920
AVDX,AvidXchange Holdings,Software - Infrastructure,1553847992
AVGO,Broadcom,Semiconductors,267861162280
AVGR,Avinger,Medical Instruments & Supplies,6891608
AVHI,Achari Ventures Holdings I,Shell Companies,131250000
AVID,Avid Technology,Electronic Gaming & Multimedia,1403941218
AVIR,Atea Pharmaceuticals,Biotechnology,285861688
AVNS,Avanos Medical,Medical Devices,1381811565
AVNT,Avient,Specialty Chemicals,3733037345
AVNW,Aviat Networks,Communication Equipment,394049474
AVO,Mission Produce,Food Distribution,790796103
AVPT,AvePoint,Software - Infrastructure,788003493
AVRO,AVROBIO,Biotechnology,42986093
AVT,Avnet,Electronics & Computer Distribution,4122129425
AVTA,Avantax,Asset Management,1275022368
AVTE,Aerovate Therapeutics,Biotechnology,483841800
AVTR,Avantor,Specialty Chemicals,14001458104
AVTX,Avalo Therapeutics,Biotechnology,23760900
AVXL,Anavex Life Sciences,Biotechnology,664053137
AVY,Avery Dennison,Business Equipment & Supplies,14466601240
AWH,Aspira Women's Health,Diagnostics & Research,46100150
AWI,Armstrong World Industries,Building Products & Equipment,3257471727
AWIN,AERWINS Technologies,Scientific & Technical Instruments,53961758
AWK,American Water Works Company,Utilities - Regulated Water,28308879084
AWR,American States Water Company,Utilities - Regulated Water,3278464128
AWRE,Aware,Software - Application,37159203
AWX,Avalon Holdings,Waste Management,10528461
AX,Axos Financial,Banks - Regional,2187625522
AXAC,AXIOS Sustainable Growth Acquisition,Shell Companies,87442770
AXDX,Accelerate Diagnostics,Medical Devices,65309928
AXGN,AxoGen,Medical Devices,400457860
AXL,American Axle & Manufacturing Holdings,Auto Parts,920502200
AXLA,Axcella Health,Biotechnology,33290902
AXNX,Axonics,Medical Devices,2737006008
AXON,Axon Enterprise,Aerospace & Defense,16568135658
AXP,American Express Company,Credit Services,121863126860
AXR,AMREP,Real Estate - Development,76931882
AXS,AXIS Capital Holdings,Insurance - Property & Casualty,4645012849
AXSM,Axsome Therapeutics,Biotechnology,2740669170
AXTA,Axalta Coating Systems,Specialty Chemicals,6879138240
AXTI,"AXT, Inc.",Semiconductor Equipment & Materials,172096365
AY,Atlantica Sustainable Infrastructure,Utilities - Renewable,3317329680
AYI,Acuity Brands,Electrical Equipment & Parts,5876001495
AYRO,"Ayro, Inc.",Auto Manufacturers,21290754
AYTU,Aytu BioPharma,Drug Manufacturers - Specialty & Generic,8504359
AYX,Alteryx,Software - Application,4037942304
AZ,A2Z Smart Technologies,Aerospace & Defense,40228890
AZEK,The AZEK Company,Building Products & Equipment,3603906480
AZN,AstraZeneca,Drug Manufacturers - General,216697930819
AZO,AutoZone,Specialty Retail,46206559458
AZPN,Aspen Technology,Software - Application,14969942856
AZRE,Azure Power Global,Utilities - Renewable,151421140
AZTA,Azenta,Medical Instruments & Supplies,3073028198
AZUL,Azul S.A.,Airlines,789190470
AZYO,Aziyo Biologics,Medical Devices,23475790
AZZ,AZZ Inc.,Metal Fabrication,1031628080
B,Barnes Group,Specialty Industrial Machinery,2058015876
BA,The Boeing Company,Aerospace & Defense,129056739199
BABA,Alibaba Group Holding,Internet Retail,254584128148
BAC,Bank of America,Banks - Diversified,228699418860
BACA,Berenson Acquisition I,Shell Companies,348689240
BACK,IMAC Holdings,Medical Care Facilities,4346562
BAER,Bridger Aerospace Group Holdings,Security & Protection Services,199150320
BAFN,BayFirst Financial,Banks - Regional,62919036
BAH,Booz Allen Hamilton Holding,Consulting Services,12567542760
BAK,Braskem,Chemicals,3045862800
